2458040.916666667, A.D. 2017-Oct-14 10:00:00.0000,  1.468787090096414E+08,  7.299085877471100E+07,  2.053190793311784E+07,  4.467714995410097E+01,  3.759100797623457E+00,  1.726983438363074E+01,
2458040.958333333, A.D. 2017-Oct-14 11:00:00.0000,  1.470395185366727E+08,  7.300437763586551E+07,  2.059407544325601E+07,  4.466148076249873E+01,  3.751381054337408E+00,  1.726767117079431E+01,
2458041.000000000, A.D. 2017-Oct-14 12:00:00.0000,  1.472002717041211E+08,  7.301786874297252E+07,  2.065623516499507E+07,  4.464583906231211E+01,  3.743681869643344E+00,  1.726550749756004E+01,
2458041.041666667, A.D. 2017-Oct-14 13:00:00.0000,  1.473609686108215E+08,  7.303133216990593E+07,  2.071838709670264E+07,  4.463022477895549E+01,  3.736003167457395E+00,  1.726334337781692E+01,
2458041.083333333, A.D. 2017-Oct-14 14:00:00.0000,  1.475216093553406E+08,  7.304476799026635E+07,  2.078053123679609E+07,  4.461463783812503E+01,  3.728344872060871E+00,  1.726117882534875E+01,
2458041.125000000, A.D. 2017-Oct-14 15:00:00.0000,  1.476821940359782E+08,  7.305817627738246E+07,  2.084266758374229E+07,  4.459907816579754E+01,  3.720706908097379E+00,  1.725901385383498E+01,
2458041.166666667, A.D. 2017-Oct-14 16:00:00.0000,  1.478427227507680E+08,  7.307155710431236E+07,  2.090479613605715E+07,  4.458354568822914E+01,  3.713089200570022E+00,  1.725684847685156E+01,
2458041.208333333, A.D. 2017-Oct-14 17:00:00.0000,  1.480031955974790E+08,  7.308491054384471E+07,  2.096691689230523E+07,  4.456804033195415E+01,  3.705491674838595E+00,  1.725468270787178E+01,
2458041.250000000, A.D. 2017-Oct-14 18:00:00.0000,  1.481636126736158E+08,  7.309823666850020E+07,  2.102902985109947E+07,  4.455256202378364E+01,  3.697914256616791E+00,  1.725251656026707E+01,
2458041.291666667, A.D. 2017-Oct-14 19:00:00.0000,  1.483239740764204E+08,  7.311153555053264E+07,  2.109113501110074E+07,  4.453711069080420E+01,  3.690356871969446E+00,  1.725035004730780E+01,
2458041.333333333, A.D. 2017-Oct-14 20:00:00.0000,  1.484842799028726E+08,  7.312480726193035E+07,  2.115323237101747E+07,  4.452168626037660E+01,  3.682819447309807E+00,  1.724818318216411E+01,
2458041.375000000, A.D. 2017-Oct-14 21:00:00.0000,  1.486445302496913E+08,  7.313805187441733E+07,  2.121532192960538E+07,  4.450628866013439E+01,  3.675301909396809E+00,  1.724601597790670E+01,
2458041.416666667, A.D. 2017-Oct-14 22:00:00.0000,  1.488047252133353E+08,  7.315126945945461E+07,  2.127740368566704E+07,  4.449091781798258E+01,  3.667804185332414E+00,  1.724384844750760E+01,
2458041.458333333, A.D. 2017-Oct-14 23:00:00.0000,  1.489648648900043E+08,  7.316446008824128E+07,  2.133947763805152E+07,  4.447557366209600E+01,  3.660326202558876E+00,  1.724168060384093E+01,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000,  1.491249493756400E+08,  7.317762383171591E+07,  2.140154378565411E+07,  4.446025612091819E+01,  3.652867888856232E+00,  1.723951245968367E+01,
2458041.541666667, A.D. 2017-Oct-15 01:00:00.0000,  1.492849787659270E+08,  7.319076076055765E+07,  2.146360212741588E+07,  4.444496512315973E+01,  3.645429172339627E+00,  1.723734402771644E+01,
2458041.583333333, A.D. 2017-Oct-15 02:00:00.0000,  1.494449531562937E+08,  7.320387094518749E+07,  2.152565266232340E+07,  4.442970059779680E+01,  3.638009981456781E+00,  1.723517532052420E+01,
2458041.625000000, A.D. 2017-Oct-15 03:00:00.0000,  1.496048726419131E+08,  7.321695445576942E+07,  2.158769538940837E+07,  4.441446247406973E+01,  3.630610244985455E+00,  1.723300635059702E+01,
2458041.666666667, A.D. 2017-Oct-15 04:00:00.0000,  1.497647373177043E+08,  7.323001136221160E+07,  2.164973030774730E+07,  4.439925068148139E+01,  3.623229892030964E+00,  1.723083713033078E+01,
2458041.708333333, A.D. 2017-Oct-15 05:00:00.0000,  1.499245472783329E+08,  7.324304173416758E+07,  2.171175741646111E+07,  4.438406514979574E+01,  3.615868852023725E+00,  1.722866767202791E+01,
2458041.750000000, A.D. 2017-Oct-15 06:00:00.0000,  1.500843026182120E+08,  7.325604564103739E+07,  2.177377671471490E+07,  4.436890580903623E+01,  3.608527054716842E+00,  1.722649798789806E+01,
2458041.791666667, A.D. 2017-Oct-15 07:00:00.0000,  1.502440034315034E+08,  7.326902315196885E+07,  2.183578820171754E+07,  4.435377258948429E+01,  3.601204430183734E+00,  1.722432809005882E+01,
2458041.833333333, A.D. 2017-Oct-15 08:00:00.0000,  1.504036498121183E+08,  7.328197433585851E+07,  2.189779187672132E+07,  4.433866542167772E+01,  3.593900908815807E+00,  1.722215799053641E+01,
2458041.875000000, A.D. 2017-Oct-15 09:00:00.0000,  1.505632418537184E+08,  7.329489926135296E+07,  2.195978773902170E+07,  4.432358423640925E+01,  3.586616421320093E+00,  1.721998770126635E+01,
2458041.916666667, A.D. 2017-Oct-15 10:00:00.0000,  1.507227796497167E+08,  7.330779799684986E+07,  2.202177578795696E+07,  4.430852896472443E+01,  3.579350898717245E+00,  1.721781723409411E+01,
2458041.958333333, A.D. 2017-Oct-15 11:00:00.0000,  1.508822632932783E+08,  7.332067061049917E+07,  2.208375602290781E+07,  4.429349953792082E+01,  3.572104272338989E+00,  1.721564660077581E+01,
