58049.1955	RA= 0.3915373	DEC= 0.168042423	vx(km/s)= 43.8490913	vy(km/s)= 2.09772487	vz(km/s)= 16.3788214
58049.2026	RA= 0.391490716	DEC= 0.168071091	vx(km/s)= 43.8490913	vy(km/s)= 2.09772487	vz(km/s)= 16.3788214
58049.3843	RA= 0.390315428	DEC= 0.168794185	vx(km/s)= 43.795576	vy(km/s)= 2.07566087	vz(km/s)= 16.3691657
58049.3855	RA= 0.390307443	DEC= 0.168799097	vx(km/s)= 43.795576	vy(km/s)= 2.07566087	vz(km/s)= 16.3691657
58049.3869	RA= 0.39029901	DEC= 0.168804284	vx(km/s)= 43.795576	vy(km/s)= 2.07566087	vz(km/s)= 16.3691657
58050.2339	RA= 0.384919593	DEC= 0.172108884	vx(km/s)= 43.5853284	vy(km/s)= 1.98977244	vz(km/s)= 16.3308101
58050.2392	RA= 0.384886947	DEC= 0.172128913	vx(km/s)= 43.5853284	vy(km/s)= 1.98977244	vz(km/s)= 16.3308101
58050.2444	RA= 0.384854379	DEC= 0.172148895	vx(km/s)= 43.5336987	vy(km/s)= 1.96887459	vz(km/s)= 16.3212889
58050.2496	RA= 0.384821961	DEC= 0.172168783	vx(km/s)= 43.5336987	vy(km/s)= 1.96887459	vz(km/s)= 16.3212889
58051.0445	RA= 0.379921787	DEC= 0.17517154	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.0502	RA= 0.379887033	DEC= 0.175192812	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.0616	RA= 0.379817897	DEC= 0.175235127	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.1121	RA= 0.379511161	DEC= 0.175422847	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.1176	RA= 0.379477752	DEC= 0.175443292	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.1959	RA= 0.37900377	DEC= 0.175733305	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.2077	RA= 0.378932326	DEC= 0.175777014	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.2195	RA= 0.378860911	DEC= 0.175820702	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.2321	RA= 0.378785052	DEC= 0.175867108	vx(km/s)= 43.3307866	vy(km/s)= 1.88747923	vz(km/s)= 16.2834796
58051.2417	RA= 0.378726624	DEC= 0.17590285	vx(km/s)= 43.2809406	vy(km/s)= 1.86766338	vz(km/s)= 16.2740967
58051.2444	RA= 0.378710553	DEC= 0.175912681	vx(km/s)= 43.2809406	vy(km/s)= 1.86766338	vz(km/s)= 16.2740967
58051.2447	RA= 0.378708946	DEC= 0.175913664	vx(km/s)= 43.2809406	vy(km/s)= 1.86766338	vz(km/s)= 16.2740967
58051.2472	RA= 0.378693715	DEC= 0.175922981	vx(km/s)= 43.2809406	vy(km/s)= 1.86766338	vz(km/s)= 16.2740967
58051.2501	RA= 0.378676319	DEC= 0.175933622	vx(km/s)= 43.2809406	vy(km/s)= 1.86766338	vz(km/s)= 16.2740967
58051.8769	RA= 0.374933566	DEC= 0.178220982	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58051.8973	RA= 0.374812944	DEC= 0.17829463	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58051.9041	RA= 0.374773188	DEC= 0.178318903	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58051.979	RA= 0.374331846	DEC= 0.17858833	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58051.9807	RA= 0.374321832	DEC= 0.178594442	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
58051.9824	RA= 0.374311818	DEC= 0.178600555	vx(km/s)= 43.1334582	vy(km/s)= 1.80944586	vz(km/s)= 16.2461168
