58079.2694	RA= 0.263690997	DEC= 0.244094384	vx(km/s)= 38.5729611	vy(km/s)= 0.305132757	vz(km/s)= 15.2243149
58079.2927	RA= 0.263625368	DEC= 0.244131928	vx(km/s)= 38.5729611	vy(km/s)= 0.305132757	vz(km/s)= 15.2243149
58079.3164	RA= 0.263558598	DEC= 0.244170124	vx(km/s)= 38.5729611	vy(km/s)= 0.305132757	vz(km/s)= 15.2243149
58079.5303	RA= 0.262956464	DEC= 0.24451449	vx(km/s)= 38.5500698	vy(km/s)= 0.298993885	vz(km/s)= 15.2184388
58079.5366	RA= 0.262938887	DEC= 0.244524541	vx(km/s)= 38.5500698	vy(km/s)= 0.298993885	vz(km/s)= 15.2184388
58079.5429	RA= 0.262921312	DEC= 0.244534589	vx(km/s)= 38.5500698	vy(km/s)= 0.298993885	vz(km/s)= 15.2184388
58079.5491	RA= 0.26290374	DEC= 0.244544637	vx(km/s)= 38.5500698	vy(km/s)= 0.298993885	vz(km/s)= 15.2184388
58079.5554	RA= 0.26288617	DEC= 0.244554683	vx(km/s)= 38.5500698	vy(km/s)= 0.298993885	vz(km/s)= 15.2184388
58080.0389	RA= 0.26153648	DEC= 0.245326034	vx(km/s)= 38.5045906	vy(km/s)= 0.28683856	vz(km/s)= 15.2067427
58080.0706	RA= 0.261448578	DEC= 0.245376246	vx(km/s)= 38.4820012	vy(km/s)= 0.280821362	vz(km/s)= 15.2009225
58080.2743	RA= 0.260884481	DEC= 0.245698399	vx(km/s)= 38.4595111	vy(km/s)= 0.274843984	vz(km/s)= 15.1951208
58080.2883	RA= 0.26084589	DEC= 0.245720434	vx(km/s)= 38.4595111	vy(km/s)= 0.274843984	vz(km/s)= 15.1951208
58080.3739	RA= 0.260609542	DEC= 0.245855371	vx(km/s)= 38.4595111	vy(km/s)= 0.274843984	vz(km/s)= 15.1951208
58099.0647	RA= 0.217545318	DEC= 0.27006874	vx(km/s)= 36.7080278	vy(km/s)= -0.149842364	vz(km/s)= 14.7216953
58099.0709	RA= 0.217533234	DEC= 0.270075428	vx(km/s)= 36.7080278	vy(km/s)= -0.149842364	vz(km/s)= 14.7216953
58099.0772	RA= 0.217521152	DEC= 0.270082115	vx(km/s)= 36.7080278	vy(km/s)= -0.149842364	vz(km/s)= 14.7216953
58099.0835	RA= 0.21750907	DEC= 0.270088801	vx(km/s)= 36.7080278	vy(km/s)= -0.149842364	vz(km/s)= 14.7216953
58099.0897	RA= 0.21749699	DEC= 0.270095487	vx(km/s)= 36.7080278	vy(km/s)= -0.149842364	vz(km/s)= 14.7216953
58120.3206	RA= 0.182788591	DEC= 0.289048431	vx(km/s)= 35.3228626	vy(km/s)= -0.428998621	vz(km/s)= 14.3172701
58120.3269	RA= 0.182779901	DEC= 0.289053112	vx(km/s)= 35.3228626	vy(km/s)= -0.428998621	vz(km/s)= 14.3172701
58120.3331	RA= 0.182771212	DEC= 0.289057792	vx(km/s)= 35.3228626	vy(km/s)= -0.428998621	vz(km/s)= 14.3172701
58120.3394	RA= 0.182762523	DEC= 0.289062471	vx(km/s)= 35.3228626	vy(km/s)= -0.428998621	vz(km/s)= 14.3172701
58120.3457	RA= 0.182753836	DEC= 0.28906715	vx(km/s)= 35.3228626	vy(km/s)= -0.428998621	vz(km/s)= 14.3172701
58120.4531	RA= 0.182604946	DEC= 0.289147332	vx(km/s)= 35.3118448	vy(km/s)= -0.431019217	vz(km/s)= 14.3139474
58120.4593	RA= 0.182596272	DEC= 0.289152003	vx(km/s)= 35.3118448	vy(km/s)= -0.431019217	vz(km/s)= 14.3139474
58120.4656	RA= 0.182587599	DEC= 0.289156674	vx(km/s)= 35.3118448	vy(km/s)= -0.431019217	vz(km/s)= 14.3139474
58120.4718	RA= 0.182578926	DEC= 0.289161344	vx(km/s)= 35.3118448	vy(km/s)= -0.431019217	vz(km/s)= 14.3139474
58120.4781	RA= 0.182570255	DEC= 0.289166013	vx(km/s)= 35.3118448	vy(km/s)= -0.431019217	vz(km/s)= 14.3139474
